SCR_Peaks_N,SCR_Peaks_Amplitude_Mean,EDA_Tonic_SD,EDA_Sympathetic,EDA_SympatheticN,EDA_Autocorrelation,Participant,Condition
5.0,0.7962322914239923,2.3095016117281695,0.0023650719582286404,7.359814094491616e-05,0.9535731450437794,sub-01,empty_bright
90.0,0.009372706521497198,0.26365198550034624,0.00012296184730259727,2.143847540791657e-05,0.9229745795806595,sub-01,empty_dark
16.0,0.5829311130399062,2.114500123221296,0.1138504819401107,0.0032543705464456118,0.9136646861954525,sub-01,full_bright
9.0,0.34915845325729206,1.0412532354229667,0.018997100009275476,0.0004157865853309927,0.8557996318869305,sub-01,full_dark
51.0,0.009930598424304599,0.1710923458899715,8.248674306804736e-05,3.615309107395515e-05,0.9464709759819926,sub-02,empty_bright
53.0,0.005551722149789425,0.06817655845879288,3.972472322569769e-05,1.918461127125483e-05,0.9461597553636097,sub-02,empty_dark
22.0,0.05238096638249939,0.14130455897591024,0.000979084729418951,0.0006490442220489775,0.8589245380975657,sub-02,full_bright
5.0,0.5920819960736952,1.2689247498952185,0.02941112980377102,0.003370329688318428,0.9341626819092086,sub-02,full_dark
